TIME,2014,,2015,,2016,,2017,,2018,,2019,,2020,,2021,
Sicilia,"16,300",,"16,700",,"17,200",,"17,800",,"17,900",,"18,400",,"17,500",,"18,800",
Sardegna,"19,100",,"20,000",,"20,200",,"20,800",,"21,200",,"22,000",,"20,600",,"22,600",
Extra-Regio NUTS 2,:,,:,,:,,:,,:,,:,,:,,:,
Kypros,"21,600",,"22,900",,"24,900",,"26,400",,"27,600",,"29,100",,"27,100",,"29,400",p
Latvija,"17,000",,"17,900",,"18,500",,"19,700",,"20,900",,"21,700",,"21,600",,"23,300",
Extra-Regio NUTS 2,:,,:,,:,,:,,:,,:,,:,,:,
Sostines regionas,"29,400",,"30,200",,"31,100",,"33,100",,"35,700",,"38,400",,"38,000",,"43,100",
Vidurio ir vakaru Lietuvos regionas,"16,700",,"17,100",,"17,700",,"19,200",,"20,200",,"21,400",,"21,400",,"23,200",
Luxembourg,"75,200",,"77,600",,"78,500",,"78,900",,"78,900",,"78,700",,"78,500",,"87,100",
Budapest,"38,300",,"38,500",,"39,000",,"41,200",,"43,800",,"47,700",,"46,500",,"50,600",
Pest,"15,400",,"16,100",,"15,800",,"16,000",,"17,100",,"18,100",,"17,900",,"19,800",
Közép-Dunántúl,"16,600",,"18,100",,"18,500",,"18,900",,"20,100",,"21,100",,"20,200",,"22,700",
Nyugat-Dunántúl,"19,500",,"20,900",,"21,100",,"21,300",,"22,100",,"22,200",,"21,100",,"22,100",
Dél-Dunántúl,"12,200",,"12,800",,"13,000",,"13,700",,"15,000",,"15,500",,"15,200",,"16,600",
Észak-Magyarország,"11,500",,"12,900",,"12,900",,"14,000",,"14,900",,"15,100",,"15,100",,"16,900",
Észak-Alföld,"11,800",,"12,300",,"12,300",,"13,000",,"13,900",,"14,700",,"14,800",,"15,900",
Dél-Alföld,"13,100",,"14,000",,"13,900",,"14,500",,"15,800",,"16,500",,"16,600",,"17,600",
Extra-Regio NUTS 2,:,,:,,:,,:,,:,,:,,:,,:,
Malta,"24,500",,"26,900",,"27,500",,"29,800",,"30,800",,"32,400",,"29,300",,"33,000",
Extra-Regio NUTS 2,:,,:,,:,,:,,:,,:,,:,,:,
Groningen,"39,700",,"37,900",,"35,100",,"36,200",,"36,800",,"36,000",,"33,700",p,"37,500",p
Friesland (NL),"25,100",,"25,000",,"24,900",,"25,900",,"27,000",,"27,700",,"27,900",p,"29,800",p
Drenthe,"25,300",,"25,100",,"24,800",,"25,700",,"26,900",,"27,000",,"26,800",p,"28,400",p
Overijssel,"28,800",,"29,500",,"30,100",,"31,400",,"32,900",,"33,400",,"33,400",p,"35,300",p
Gelderland,"29,500",,"30,100",,"30,400",,"31,900",,"33,000",,"33,500",,"33,600",p,"35,500",p
Flevoland,"26,100",,"26,700",,"27,200",,"28,300",,"29,200",,"29,300",,"29,300",p,"30,900",p
Utrecht,"43,400",,"44,200",,"44,000",,"46,400",,"48,300",,"49,700",,"50,000",p,"52,600",p
Noord-Holland,"45,300",,"46,900",,"47,700",,"49,600",,"51,900",,"53,100",,"50,500",p,"54,400",p
Zuid-Holland,"35,400",,"36,400",,"36,400",,"37,300",,"38,300",,"38,400",,"38,200",p,"41,200",p
Zeeland,"27,800",,"28,800",,"28,900",,"29,800",,"31,400",,"31,500",,"31,900",p,"35,400",p
Noord-Brabant,"34,800",,"36,200",,"36,500",,"38,500",,"39,800",,"40,200",,"40,400",p,"43,200",p
Limburg (NL),"29,600",,"31,000",,"32,000",,"33,500",,"34,600",,"35,000",,"34,700",p,"37,900",p
Extra-Regio NUTS 2,:,,:,,:,,:,,:,,:,,:,,:,
Burgenland (AT),"24,100",,"25,000",,"25,600",,"26,400",,"27,100",,"27,700",,"26,600",,"28,100",
Niederösterreich,"28,600",,"29,500",,"29,900",,"30,900",,"32,000",,"33,000",,"31,100",,"33,600",
Wien,"42,700",,"43,300",,"44,400",,"43,800",,"45,500",,"46,100",,"43,700",,"46,500",
Kärnten,"29,700",,"30,200",,"30,400",,"31,500",,"33,000",,"33,600",,"32,600",,"35,300",
Steiermark,"31,500",,"32,100",,"33,000",,"34,000",,"34,800",,"36,000",,"34,500",,"36,200",
Oberösterreich,"35,800",,"36,500",,"37,200",,"38,000",,"39,600",,"40,300",,"38,700",,"40,900",
Salzburg,"41,000",,"42,600",,"43,800",,"44,500",,"45,800",,"47,100",,"44,800",,"46,700",
Tirol,"36,900",,"38,300",,"39,000",,"39,500",,"41,000",,"42,000",,"39,300",,"39,800",
Vorarlberg,"37,700",,"40,300",,"39,400",,"40,800",,"43,500",,"42,200",,"40,600",,"45,300",
Extra-Regio NUTS 2,:,,:,,:,,:,,:,,:,,:,,:,
Malopolskie,"15,900",,"17,200",,"17,500",,"18,600",,"19,700",b,"20,800",,"20,800",,"23,000",p
Slaskie,"18,600",,"19,800",,"20,000",,"21,100",,"22,300",b,"23,400",,"22,700",,"25,500",p
Wielkopolskie,"19,200",,"20,700",,"21,100",,"22,200",,"23,200",b,"24,800",,"25,000",,"27,000",p
Zachodniopomorskie,"15,100",,"16,100",,"16,200",,"17,000",,"18,000",b,"19,000",,"19,100",,"20,700",p
Lubuskie,"15,200",,"15,900",,"16,300",,"16,800",,"17,600",b,"18,500",,"18,600",,"20,200",p
Dolnoslaskie,"20,000",,"21,200",,"21,400",,"22,500",,"23,500",b,"24,900",,"25,300",,"27,900",p
Opolskie,"14,600",,"15,400",,"15,400",,"16,100",,"17,000",b,"18,000",,"17,900",,"20,000",p
Kujawsko-Pomorskie,"14,600",,"15,600",,"15,800",,"16,400",,"17,400",b,"18,200",,"18,600",,"20,200",p
Warminsko-Mazurskie,"12,900",,"13,500",,"13,800",,"14,300",,"14,800",b,"15,600",,"16,000",,"17,400",p
Pomorskie,"17,100",,"18,300",,"18,700",,"19,600",,"20,900",b,"22,200",,"21,700",,"24,400",p
Lódzkie,"16,800",,"17,800",,"18,100",,"18,900",,"20,000",b,"21,500",,"22,100",,"23,800",p
Swietokrzyskie,"13,100",,"13,800",,"13,900",,"14,500",,"15,600",b,"16,300",,"16,500",,"17,900",p
Lubelskie,"12,600",,"13,100",,"13,400",,"14,100",,"14,600",b,"15,600",,"15,600",,"16,900",p
Podkarpackie,"12,700",,"13,500",,"13,700",,"14,200",,"15,100",b,"16,100",,"15,800",,"17,300",p
Podlaskie,"13,100",,"13,600",,"13,800",,"14,700",,"15,400",b,"16,500",,"16,800",,"18,100",p
Warszawski stoleczny,"39,500",,"41,400",,"42,000",,"44,400",,"46,900",b,"50,100",,"50,200",,"53,700",p
Mazowiecki regionalny,"15,200",,"16,300",,"16,500",,"17,400",,"18,200",b,"19,800",,"19,600",,"21,700",p
